"user_type","time","counts"
"casual","0",49632
"member","0",36483
"casual","1",32634
"member","1",22660
"casual","2",20654
"member","2",12890
"casual","3",12043
"member","3",7884
"casual","4",8687
"member","4",9088
"casual","5",13183
"member","5",33921
"casual","6",29200
"member","6",92173
"casual","7",52917
"member","7",175143
"casual","8",70713
"member","8",205814
"casual","9",77566
"member","9",148370
"casual","10",101913
"member","10",141461
"casual","11",131699
"member","11",169143
"casual","12",154291
"member","12",194376
"casual","13",161825
"member","13",191314
"casual","14",169639
"member","14",189124
"casual","15",186456
"member","15",223255
"casual","16",205218
"member","16",293782
"casual","17",231208
"member","17",354982
"casual","18",209376
"member","18",292672
"casual","19",161438
"member","19",210430
"casual","20",118827
"member","20",147900
"casual","21",101803
"member","21",114663
"casual","22",93216
"member","22",87810
"casual","23",69466
"member","23",58297
