"user_type","year_month","counts","mean_riding_time","total_riding_time"
"casual","21/09",363482,25.2435296658432,9175568.65
"casual","21/10",256814,22.8591955007645,5870561.43333333
"casual","21/11",106726,18.6454245763294,1989951.58333333
"casual","21/12",69594,18.1908344589093,1265972.93333333
"casual","22/01",18450,17.4280560072267,321547.633333333
"casual","22/02",21350,19.5792177985948,418016.3
"casual","22/03",89647,24.2072802213125,2170110.05
"casual","22/04",126121,23.2383644806707,2930845.76666667
"casual","22/05",279801,25.5307696660603,7143534.88333333
"casual","22/06",368141,23.4048796973623,8616295.81666667
"casual","22/07",405237,23.1788198017456,9392915.4
"casual","22/08",358241,21.4749726673757,7693215.68333333
"member","21/09",392143,13.5206954690848,5302046.08333333
"member","21/10",373887,12.2407848271447,4576670.31666667
"member","21/11",252968,11.0864630440741,2804520.38333333
"member","21/12",177768,10.8214241783298,1923702.93333333
"member","22/01",85227,11.615173399666,989926.383333333
"member","22/02",94166,11.0268794823326,1038357.13333333
"member","22/03",194115,11.6879215070104,2268800.88333333
"member","22/04",244794,11.3354896361839,2774859.85
"member","22/05",354347,13.0489570016584,4623858.76666667
"member","22/06",400020,13.6437938103095,5457790.4
"member","22/07",417320,13.4240800424934,5602137.08333333
"member","22/08",426880,13.0756296461144,5581724.78333333
